label tag desc
0 PASS PASS
1 3 单牌
2 4 单牌
3 5 单牌
4 6 单牌
5 7 单牌
6 8 单牌
7 9 单牌
8 X 单牌
9 J 单牌
10 Q 单牌
11 K 单牌
12 A 单牌
13 2 单牌
14 L 单牌
15 B 单牌
16 33 对子
17 44 对子
18 55 对子
19 66 对子
20 77 对子
21 88 对子
22 99 对子
23 XX 对子
24 JJ 对子
25 QQ 对子
26 KK 对子
27 AA 对子
28 22 对子
29 LL 对子
30 BB 对子
31 333 三不带
32 444 三不带
33 555 三不带
34 666 三不带
35 777 三不带
36 888 三不带
37 999 三不带
38 XXX 三不带
39 JJJ 三不带
40 QQQ 三不带
41 KKK 三不带
42 AAA 三不带
43 222 三不带
44 333 三带二
45 444 三带二
46 555 三带二
47 666 三带二
48 777 三带二
49 888 三带二
50 999 三带二
51 XXX 三带二
52 JJJ 三带二
53 QQQ 三带二
54 KKK 三带二
55 AAA 三带二
56 222 三带二
57 LLL 三带二
58 BBB 三带二
59 34567A2 单顺
60 3456782 单顺
61 3456789 单顺
62 456789X 单顺
63 56789XJ 单顺
64 6789XJQ 单顺
65 789XJQK 单顺
66 89XJQKA 单顺
67 345678A2 单顺
68 34567892 单顺
69 3456789X 单顺
70 456789XJ 单顺
71 56789XJQ 单顺
72 6789XJQK 单顺
73 789XJQKA 单顺
74 3456789A2 单顺
75 3456789X2 单顺
76 3456789XJ 单顺
77 456789XJQ 单顺
78 56789XJQK 单顺
79 6789XJQKA 单顺
80 3456789XA2 单顺
81 3456789XJ2 单顺
82 3456789XJQ 单顺
83 456789XJQK 单顺
84 56789XJQKA 单顺
85 3456789XJA2 单顺
86 3456789XJQ2 单顺
87 3456789XJQK 单顺
88 456789XJQKA 单顺
89 3456789XJQA2 单顺
90 3456789XJQK2 单顺
91 3456789XJQKA 单顺
92 3456789XJQKA2 单顺
93 AA22 对顺子
94 3322 对顺子
95 3344 对顺子
96 4455 对顺子
97 5566 对顺子
98 6677 对顺子
99 7788 对顺子
100 8899 对顺子
101 99XX 对顺子
102 XXJJ 对顺子
103 JJQQ 对顺子
104 QQKK 对顺子
105 KKAA 对顺子
106 33AA22 对顺子
107 334422 对顺子
108 334455 对顺子
109 445566 对顺子
110 556677 对顺子
111 667788 对顺子
112 778899 对顺子
113 8899XX 对顺子
114 99XXJJ 对顺子
115 XXJJQQ 对顺子
116 JJQQKK 对顺子
117 QQKKAA 对顺子
118 3344AA22 对顺子
119 33445522 对顺子
120 33445566 对顺子
121 44556677 对顺子
122 55667788 对顺子
123 66778899 对顺子
124 778899XX 对顺子
125 8899XXJJ 对顺子
126 99XXJJQQ 对顺子
127 XXJJQQKK 对顺子
128 JJQQKKAA 对顺子
129 334455AA22 对顺子
130 3344556622 对顺子
131 3344556677 对顺子
132 4455667788 对顺子
133 5566778899 对顺子
134 66778899XX 对顺子
135 778899XXJJ 对顺子
136 8899XXJJQQ 对顺子
137 99XXJJQQKK 对顺子
138 XXJJQQKKAA 对顺子
139 33445566AA22 对顺子
140 334455667722 对顺子
141 334455667788 对顺子
142 445566778899 对顺子
143 5566778899XX 对顺子
144 66778899XXJJ 对顺子
145 778899XXJJQQ 对顺子
146 8899XXJJQQKK 对顺子
147 99XXJJQQKKAA 对顺子
148 3344556677AA22 对顺子
149 33445566778822 对顺子
150 33445566778899 对顺子
151 445566778899XX 对顺子
152 5566778899XXJJ 对顺子
153 66778899XXJJQQ 对顺子
154 778899XXJJQQKK 对顺子
155 8899XXJJQQKKAA 对顺子
156 334455667788AA22 对顺子
157 3344556677889922 对顺子
158 33445566778899XX 对顺子
159 445566778899XXJJ 对顺子
160 5566778899XXJJQQ 对顺子
161 66778899XXJJQQKK 对顺子
162 778899XXJJQQKKAA 对顺子
163 33445566778899AA22 对顺子
164 33445566778899XX22 对顺子
165 33445566778899XXJJ 对顺子
166 445566778899XXJJQQ 对顺子
167 5566778899XXJJQQKK 对顺子
168 66778899XXJJQQKKAA 对顺子
169 33445566778899XXAA22 对顺子
170 33445566778899XXJJ22 对顺子
171 33445566778899XXJJQQ 对顺子
172 445566778899XXJJQQKK 对顺子
173 5566778899XXJJQQKKAA 对顺子
174 33445566778899XXJJAA22 对顺子
175 33445566778899XXJJQQ22 对顺子
176 33445566778899XXJJQQKK 对顺子
177 445566778899XXJJQQKKAA 对顺子
178 33445566778899XXJJQQAA22 对顺子
179 33445566778899XXJJQQKK22 对顺子
180 33445566778899XXJJQQKKAA 对顺子
181 33445566778899XXJJQQKKAA22 对顺子
182 AAA222 三顺子
183 333222 三顺子
184 333444 三顺子
185 444555 三顺子
186 555666 三顺子
187 666777 三顺子
188 777888 三顺子
189 888999 三顺子
190 999XXX 三顺子
191 XXXJJJ 三顺子
192 JJJQQQ 三顺子
193 QQQKKK 三顺子
194 KKKAAA 三顺子
195 333AAA222 三顺子
196 333444222 三顺子
197 333444555 三顺子
198 444555666 三顺子
199 555666777 三顺子
200 666777888 三顺子
201 777888999 三顺子
202 888999XXX 三顺子
203 999XXXJJJ 三顺子
204 XXXJJJQQQ 三顺子
205 JJJQQQKKK 三顺子
206 QQQKKKAAA 三顺子
207 333444AAA222 三顺子
208 333444555222 三顺子
209 333444555666 三顺子
210 444555666777 三顺子
211 555666777888 三顺子
212 666777888999 三顺子
213 777888999XXX 三顺子
